3	0	3	0.0
6	1	6	240.47342933333334
9	1	9	740.9937066666666
12	1	12	754.97472
15	1	15	766.1595306666667
18	5	18	808.1025706666667
21	5	21	2271.215616
24	5	24	3226.1188266666663
27	5	27	4051.697664
30	5	30	4292.171093333333
33	9	33	4381.649578666667
36	10	36	5765.769898666667
39	10	39	6727.663616
42	15	42	8422.162432
45	15	45	6780.791466666667
48	15	48	7564.427264
51	20	51	8379.520341333333
54	20	54	11342.796117333333
57	20	57	10273.248597333333
60	25	60	12763.267072
63	25	63	12946.418346666665
66	25	66	11732.167338666666
69	27	69	10335.464106666666
72	27	72	10179.575808
75	27	75	4514.469205333333
78	27	78	4061.4843733333337
81	27	81	6340.389546666667
84	27	84	12440.305664
87	27	87	15267.26656
90	27	90	18935.884458666667
93	27	93	17951.62112
96	27	96	19894.98197333333
99	27	99	17778.256554666666
102	26	102	18289.96164266667
105	24	105	17484.655274666668
108	24	108	12395.566421333335
111	24	111	11363.767637333334
114	24	114	15074.328576
117	23	117	17691.574272
120	23	120	16315.84256
123	23	123	16181.624832
126	22	126	15770.58304
129	22	129	12812.200618666666
132	22	132	16480.818517333333
135	22	135	14358.500693333333
138	22	138	16903.04512
141	22	141	13254.00064
144	22	144	13874.757632
147	22	147	15211.342506666666
150	22	150	14747.172864
153	22	153	16190.01344
156	22	156	14691.248810666666
159	22	159	14165.562709333333
162	22	162	13116.986709333334
165	22	165	13662.246229333334
168	22	168	17123.945130666667
171	22	171	15731.436202666666
174	22	174	14993.238698666666
177	22	177	16542.334976
180	22	180	14014.567765333333
183	22	183	13329.498112
186	21	186	11875.472725333333
189	21	189	14154.377898666666
192	22	192	14878.594389333333
195	22	195	14104.046250666666
198	22	198	14260.6336
201	22	201	15295.228586666666
204	22	204	13911.108266666666
207	22	207	12143.908181333334
210	22	210	13195.280384
213	22	213	12538.172757333334
216	22	216	12719.925930666666
219	22	219	13908.312064
222	22	222	12912.863914666666
225	22	225	14246.652586666665
228	22	228	11089.739776
231	22	231	11369.360042666665
234	22	234	11621.018282666666
237	22	237	14092.86144
240	22	240	14162.766506666667
243	22	243	16385.747626666667
246	22	246	15317.598208
249	22	249	13715.37408
252	22	252	14246.652586666665
255	22	255	14942.907050666667
258	22	258	14095.657642666665
261	22	261	13203.668992
264	22	264	14397.647530666665
267	22	267	15233.712128
270	22	270	14280.207018666666
273	22	273	14269.022208
276	22	276	13600.729770666667
279	22	279	13418.976597333334
282	22	282	13519.639893333335
285	22	285	14218.69056
288	22	288	15443.427328
291	22	291	13774.094336
294	22	294	14677.267797333334
297	22	297	12910.067712
300	22	300	15544.090624
303	22	303	14526.272853333334
306	22	306	16455.652693333333
309	22	309	14213.098154666666
312	22	312	15202.953898666667
315	22	315	12596.893013333334
318	22	318	15404.280490666666
321	22	321	14213.098154666666
324	22	324	15208.546304
327	22	327	15228.119722666666
330	22	330	14481.533610666665
333	22	333	14791.912106666667
336	22	336	14819.874133333335
339	22	339	13885.942442666666
342	22	342	16584.278016
345	22	345	14241.060181333334
348	22	348	16097.738752
351	22	351	13874.757632
354	22	354	15423.853909333335
357	22	357	14663.286784
360	22	360	15219.731114666665
363	22	363	14078.880426666667
366	22	366	14540.253866666666
369	22	369	13231.631018666667
372	22	372	15177.788074666665
375	22	375	14182.339925333334
378	22	378	14761.153877333334
381	22	381	14204.709546666667
384	22	384	14109.638656
387	22	387	14719.210837333334
390	22	390	14104.046250666666
393	22	393	15809.729877333333
396	22	396	15085.513386666666
399	22	399	14053.714602666667
402	22	402	16181.624832
405	22	405	15289.636181333333
408	22	408	17034.466645333334
411	22	411	14428.40576
414	22	414	15611.199488
417	22	417	14084.472832
420	22	420	14361.296896
423	22	423	15516.128597333334
426	22	426	14045.325994666666
429	22	429	13790.871552
432	22	432	13072.247466666666
435	22	435	13432.957610666666
438	22	438	16858.305877333332
441	22	441	14011.771562666667
444	22	444	14917.741226666665
447	22	447	14884.186794666666
450	22	450	14087.269034666666
453	22	453	14512.29184
456	22	456	15303.617194666665
459	22	459	14403.239936
462	22	462	13371.441152
465	22	465	13595.137365333334
468	22	468	14036.937386666666
471	22	471	14369.685504
474	22	474	14674.471594666666
477	22	477	11436.468906666665
480	22	480	15490.962773333335
483	22	483	13930.681685333335
486	22	486	13128.17152
489	22	489	14892.575402666665
492	22	492	14576.604501333333
495	22	495	14436.794368
498	22	498	14545.846272
501	22	501	12216.609450666667
504	22	504	15583.237461333334
507	22	507	14296.984234666666
510	22	510	15823.710890666665
513	22	513	16117.312170666666
516	22	516	14255.041194666666
519	22	519	15421.057706666666
522	22	522	15365.133653333334
525	22	525	15395.891882666667
528	22	528	15208.546304
531	22	531	15298.024789333334
534	22	534	14694.045013333334
537	22	537	15353.948842666667
540	22	540	15130.252629333334
543	22	543	15748.213418666666
546	22	546	12515.803136
549	22	549	14473.145002666666
552	22	552	13919.496874666665
555	22	555	15278.451370666666
558	22	558	14017.363968
561	22	561	14461.960192
564	22	564	12568.930986666666
567	22	567	14266.226005333334
570	22	570	15826.507093333334
573	22	573	14590.585514666665
576	22	576	16215.179264
579	22	579	14912.148821333334
582	22	582	14797.504512
585	22	585	13816.037376
588	22	588	17210.62741333333
591	22	591	13195.280384
594	22	594	15809.729877333333
597	22	597	14299.780437333335
600	22	600	12761.868970666666
603	22	603	15966.317226666666
606	22	606	12395.566421333335
609	22	609	14744.376661333334
612	22	612	12868.124672
615	22	615	14442.386773333334
618	22	618	14129.212074666666
621	22	621	14154.377898666666
624	22	624	15681.104554666666
627	22	627	14954.091861333334
